clock (30 min),Day,Total TNF (pg),Total IL1b (pg),Total TGF (pg),Collagen (ug),Aggrecan (ug),Activated Chondrocytes,Total Chondrocytes, Elastic Modulus (kPa) , Swelling Ratio , Mass Loss (%) , Alginate_wv (%), Alginate_Mw (kDa), Ca_XL (M), Viability Rate (%)
863,17.9792,291.408,146.837,757.335,1.14300,1.87700,57,57,2.60897 , 0.00000, 2.69754,2.00000,1500.00000,0.01400,99.56720
864,18,286.292,144.247,744.116,1.14300,1.87700,56,57,2.60897 , 0.00000, 2.70027,2.00000,1500.00000,0.01400,99.56805
865,18.0208,286.292,144.247,744.116,1.14300,1.87700,55,56,2.60897 , 0.00000, 2.70300,2.00000,1500.00000,0.01400,99.56889
866,18.0417,281.177,141.656,730.897,1.14300,1.87700,55,56,2.60897 , 0.00000, 2.70573,2.00000,1500.00000,0.01400,99.56974
867,18.0625,281.177,141.656,730.897,1.14300,1.87700,55,56,2.60897 , 0.00000, 2.70846,2.00000,1500.00000,0.01400,99.57058
868,18.0833,276.177,139.656,720.897,1.14300,1.87700,55,57,2.60897 , 0.00000, 2.71118,2.00000,1500.00000,0.01400,99.57143
869,18.1042,281.177,141.656,730.897,1.14300,1.87700,55,57,2.60897 , 0.00000, 2.71391,2.00000,1500.00000,0.01400,99.57227
870,18.125,276.179,139.823,720.679,1.14300,1.87700,54,57,2.60897 , 0.00000, 2.71664,2.00000,1500.00000,0.01400,99.57311
871,18.1458,276.071,139.075,717.668,1.14300,1.87700,55,57,2.60897 , 0.00000, 2.71937,2.00000,1500.00000,0.01400,99.57395
872,18.1667,281.179,141.824,730.683,1.14300,1.87700,56,57,2.60897 , 0.00000, 2.72210,2.00000,1500.00000,0.01400,99.57479
873,18.1875,286.419,145.014,747.106,1.14300,1.87700,56,57,2.60897 , 0.00000, 2.72483,2.00000,1500.00000,0.01400,99.57563
874,18.2083,281.305,142.272,740.547,1.14300,1.87700,55,58,2.60897 , 0.00000, 2.72755,2.00000,1500.00000,0.01400,99.57647
875,18.2292,281.25,142.03,741.204,1.14300,1.87700,55,58,2.60897 , 0.00000, 2.73028,2.00000,1500.00000,0.01400,99.57731
876,18.25,281.238,142.006,741.219,1.14300,1.87700,53,55,2.60897 , 0.00000, 2.73301,2.00000,1500.00000,0.01400,99.57814
877,18.2708,270.891,136.233,711.553,1.14300,1.87700,54,55,2.60897 , 0.00000, 2.73574,2.00000,1500.00000,0.01400,99.57898
878,18.2917,260.662,131.218,684.895,1.14300,1.87700,51,58,2.60897 , 0.00000, 2.73847,2.00000,1500.00000,0.01400,99.57981
879,18.3125,260.787,131.819,688.104,1.14300,1.87700,53,58,2.60897 , 0.00000, 2.74119,2.00000,1500.00000,0.01400,99.58064
880,18.3333,265.67,133.063,695.108,1.14400,1.87800,54,59,2.60897 , 0.00000, 2.74392,2.00000,1500.00000,0.01400,99.58147
881,18.3542,275.778,137.81,718.118,1.14400,1.87800,56,59,2.60897 , 0.00000, 2.74665,2.00000,1500.00000,0.01400,99.58231
882,18.375,280.904,140.576,731.104,1.14400,1.87800,55,59,2.60897 , 0.00000, 2.74938,2.00000,1500.00000,0.01400,99.58314
883,18.3958,281.144,141.769,737.535,1.14400,1.87800,57,59,2.60897 , 0.00000, 2.75211,2.00000,1500.00000,0.01400,99.58397
884,18.4167,286.026,142.846,744.758,1.14400,1.87800,56,60,2.60897 , 0.00000, 2.75484,2.00000,1500.00000,0.01400,99.58480
885,18.4375,286.242,144.341,750.779,1.14400,1.87800,55,59,2.60897 , 0.00000, 2.75757,2.00000,1500.00000,0.01400,99.58562
886,18.4583,281.142,141.601,737.75,1.14400,1.87800,56,59,2.60897 , 0.00000, 2.76029,2.00000,1500.00000,0.01400,99.58646
887,18.4792,286.249,144.185,750.987,1.14400,1.87800,56,59,2.60897 , 0.00000, 2.76302,2.00000,1500.00000,0.01400,99.58728
888,18.5,286.364,144.774,754.202,1.14400,1.87800,55,58,2.60897 , 0.00000, 2.76575,2.00000,1500.00000,0.01400,99.58810
889,18.5208,281.247,142.016,741.202,1.14400,1.87800,55,58,2.60897 , 0.00000, 2.76848,2.00000,1500.00000,0.01400,99.58893
890,18.5417,281.238,142.006,741.212,1.14400,1.87800,57,58,2.60897 , 0.00000, 2.77121,2.00000,1500.00000,0.01400,99.58975
891,18.5625,291.237,146.005,761.207,1.14400,1.87800,57,58,2.60897 , 0.00000, 2.77394,2.00000,1500.00000,0.01400,99.59058
892,18.5833,291.471,147.52,767.207,1.15400,1.88400,57,58,2.60897 , 0.00000, 2.77666,2.00000,1500.00000,0.01400,99.59139
893,18.6042,291.237,146.005,761.207,1.15400,1.88400,57,58,2.60897 , 0.00000, 2.77939,2.00000,1500.00000,0.01400,99.59222
894,18.625,281.123,141.581,737.77,1.15400,1.88400,55,60,2.60897 , 0.00000, 2.78212,2.00000,1500.00000,0.01400,99.59303
895,18.6458,281.131,141.424,737.978,1.15400,1.88400,56,60,2.60897 , 0.00000, 2.78485,2.00000,1500.00000,0.01400,99.59385
896,18.6667,281.239,142.173,740.992,1.15400,1.88400,57,61,2.60897 , 0.00000, 2.78758,2.00000,1500.00000,0.01400,99.59467
897,18.6875,291.247,146.015,761.197,1.15400,1.88400,59,61,2.60897 , 0.00000, 2.79031,2.00000,1500.00000,0.01400,99.59549
898,18.7083,301.472,151.522,787.211,1.15600,1.88500,59,61,2.60897 , 0.00000, 2.79303,2.00000,1500.00000,0.01400,99.59630
899,18.7292,301.604,151.964,790.624,1.15600,1.88500,59,61,2.60897 , 0.00000, 2.79576,2.00000,1500.00000,0.01400,99.59711
900,18.75,301.711,152.548,793.861,1.15600,1.88500,59,61,2.60897 , 0.00000, 2.79849,2.00000,1500.00000,0.01400,99.59793
901,18.7708,301.709,152.379,794.077,1.15600,1.88500,59,61,2.60897 , 0.00000, 2.80122,2.00000,1500.00000,0.01400,99.59875
902,18.7917,286.381,144.718,750.885,1.15600,1.88500,56,64,2.60897 , 0.00000, 2.80395,2.00000,1500.00000,0.01400,99.59956
903,18.8125,286.38,144.712,747.498,1.15600,1.88500,57,64,2.60897 , 0.00000, 2.80667,2.00000,1500.00000,0.01400,99.60036
904,18.8333,286.191,143.756,737.34,1.15600,1.88500,57,65,2.60897 , 0.00000, 2.80940,2.00000,1500.00000,0.01400,99.60117
905,18.8542,291.439,147.3,756.392,1.15600,1.88500,58,65,2.60897 , 0.00000, 2.81213,2.00000,1500.00000,0.01400,99.60199
906,18.875,296.533,149.609,770.302,1.15600,1.88500,61,65,2.60897 , 0.00000, 2.81486,2.00000,1500.00000,0.01400,99.60280
907,18.8958,311.653,156.211,809.981,1.15600,1.88500,62,65,2.60897 , 0.00000, 2.81759,2.00000,1500.00000,0.01400,99.60360
908,18.9167,311.842,157.494,816.631,1.15600,1.88500,63,65,2.60897 , 0.00000, 2.82032,2.00000,1500.00000,0.01400,99.60441
909,18.9375,321.961,161.748,840.286,1.15600,1.88500,64,65,2.60897 , 0.00000, 2.82305,2.00000,1500.00000,0.01400,99.60522
910,18.9583,316.829,159.306,826.868,1.16000,1.89200,62,67,2.60897 , 0.00000, 2.82577,2.00000,1500.00000,0.01400,99.60602
911,18.9792,316.943,159.894,830.077,1.16000,1.89200,61,65,2.60897 , 0.00000, 2.82850,2.00000,1500.00000,0.01400,99.60683
912,19,311.835,157.146,817.066,1.16000,1.89200,61,64,2.60897 , 0.00000, 2.83123,2.00000,1500.00000,0.01400,99.60763
913,19.0208,311.826,157.138,817.08,1.16000,1.89200,61,64,2.60897 , 0.00000, 2.83396,2.00000,1500.00000,0.01400,99.60843
914,19.0417,311.941,157.727,820.295,1.16000,1.89200,62,64,2.60897 , 0.00000, 2.83669,2.00000,1500.00000,0.01400,99.60923
915,19.0625,316.94,159.56,830.513,1.16000,1.89200,62,64,2.60897 , 0.00000, 2.83942,2.00000,1500.00000,0.01400,99.61003
916,19.0833,317.047,160.308,833.523,1.16000,1.89200,62,64,2.60897 , 0.00000, 2.84214,2.00000,1500.00000,0.01400,99.61083
917,19.1042,317.054,160.15,833.728,1.16000,1.89200,62,64,2.60897 , 0.00000, 2.84487,2.00000,1500.00000,0.01400,99.61163
918,19.125,311.93,157.551,820.523,1.16000,1.89200,60,65,2.60897 , 0.00000, 2.84760,2.00000,1500.00000,0.01400,99.61243
919,19.1458,306.842,155.079,803.755,1.16000,1.89200,61,65,2.60897 , 0.00000, 2.85033,2.00000,1500.00000,0.01400,99.61323
920,19.1667,311.841,157.075,810.372,1.16000,1.89200,63,65,2.60897 , 0.00000, 2.85306,2.00000,1500.00000,0.01400,99.61402
921,19.1875,321.973,161.937,833.197,1.16000,1.89200,64,65,2.60897 , 0.00000, 2.85579,2.00000,1500.00000,0.01400,99.61481
922,19.2083,327.23,165.329,855.84,1.16500,1.89800,64,65,2.60897 , 0.00000, 2.85851,2.00000,1500.00000,0.01400,99.61561
923,19.2292,327.193,164.776,856.93,1.16500,1.89800,64,65,2.60897 , 0.00000, 2.86124,2.00000,1500.00000,0.01400,99.61640
924,19.25,322.192,163.023,843.212,1.16500,1.89800,63,64,2.60897 , 0.00000, 2.86397,2.00000,1500.00000,0.01400,99.61720
925,19.2708,322.082,162.266,836.803,1.16500,1.89800,62,63,2.60897 , 0.00000, 2.86670,2.00000,1500.00000,0.01400,99.61799
926,19.2917,317.096,160.54,826.426,1.16500,1.89800,62,63,2.60897 , 0.00000, 2.86943,2.00000,1500.00000,0.01400,99.61878
927,19.3125,316.994,159.8,823.414,1.16500,1.89800,62,63,2.60897 , 0.00000, 2.87215,2.00000,1500.00000,0.01400,99.61957
928,19.3333,311.87,157.202,810.213,1.16500,1.89800,61,64,2.60897 , 0.00000, 2.87488,2.00000,1500.00000,0.01400,99.62036
929,19.3542,311.87,157.2,810.209,1.16500,1.89800,61,64,2.60897 , 0.00000, 2.87761,2.00000,1500.00000,0.01400,99.62115
930,19.375,311.987,157.958,813.209,1.16500,1.89800,60,63,2.60897 , 0.00000, 2.88034,2.00000,1500.00000,0.01400,99.62193
931,19.3958,306.907,155.331,796.653,1.16500,1.89800,62,63,2.60897 , 0.00000, 2.88307,2.00000,1500.00000,0.01400,99.62273
932,19.4167,316.897,159.318,813.286,1.16600,1.90000,63,63,2.60897 , 0.00000, 2.88580,2.00000,1500.00000,0.01400,99.62351
933,19.4375,322.035,162.189,826.112,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.88853,2.00000,1500.00000,0.01400,99.62429
934,19.4583,317.051,160.209,816.104,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.89125,2.00000,1500.00000,0.01400,99.62508
935,19.4792,317.05,160.044,816.33,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.89398,2.00000,1500.00000,0.01400,99.62586
936,19.5,317.041,160.034,816.341,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.89671,2.00000,1500.00000,0.01400,99.62664
937,19.5208,317.04,160.032,816.337,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.89944,2.00000,1500.00000,0.01400,99.62743
938,19.5417,317.04,160.033,816.337,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.90217,2.00000,1500.00000,0.01400,99.62820
939,19.5625,317.04,160.033,816.337,1.16600,1.90000,62,62,2.60897 , 0.00000, 2.90490,2.00000,1500.00000,0.01400,99.62899
940,19.5833,312.042,158.199,806.118,1.16600,1.90000,61,63,2.60897 , 0.00000, 2.90762,2.00000,1500.00000,0.01400,99.62977
941,19.6042,312.05,158.042,806.326,1.16600,1.90000,62,63,2.60897 , 0.00000, 2.91035,2.00000,1500.00000,0.01400,99.63055
942,19.625,311.925,157.443,803.122,1.16600,1.90000,62,64,2.60897 , 0.00000, 2.91308,2.00000,1500.00000,0.01400,99.63132
943,19.6458,317.042,160.199,816.118,1.16600,1.90000,62,64,2.60897 , 0.00000, 2.91581,2.00000,1500.00000,0.01400,99.63210
944,19.6667,317.167,160.8,819.326,1.16600,1.90100,62,64,2.60897 , 0.00000, 2.91854,2.00000,1500.00000,0.01400,99.63287
945,19.6875,317.041,160.034,816.341,1.16600,1.90100,63,64,2.60897 , 0.00000, 2.92127,2.00000,1500.00000,0.01400,99.63365
946,19.7083,322.04,162.032,826.337,1.16600,1.90100,63,64,2.60897 , 0.00000, 2.92399,2.00000,1500.00000,0.01400,99.63442
947,19.7292,322.274,163.548,832.337,1.16600,1.90100,64,64,2.60897 , 0.00000, 2.92672,2.00000,1500.00000,0.01400,99.63520
948,19.75,327.29,165.234,842.754,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.92945,2.00000,1500.00000,0.01400,99.63597
949,19.7708,322.274,163.384,832.564,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.93218,2.00000,1500.00000,0.01400,99.63674
950,19.7917,322.281,163.224,832.765,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.93491,2.00000,1500.00000,0.01400,99.63751
951,19.8125,322.272,163.215,832.778,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.93764,2.00000,1500.00000,0.01400,99.63828
952,19.8333,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.94036,2.00000,1500.00000,0.01400,99.63905
953,19.8542,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.94309,2.00000,1500.00000,0.01400,99.63982
954,19.875,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.94582,2.00000,1500.00000,0.01400,99.64059
955,19.8958,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.94855,2.00000,1500.00000,0.01400,99.64136
956,19.9167,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.95128,2.00000,1500.00000,0.01400,99.64212
957,19.9375,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.95401,2.00000,1500.00000,0.01400,99.64289
958,19.9583,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.95673,2.00000,1500.00000,0.01400,99.64365
959,19.9792,322.271,163.214,832.774,1.16600,1.90100,63,63,2.60897 , 0.00000, 2.95946,2.00000,1500.00000,0.01400,99.64442
960,20,312.04,158.033,806.337,1.16600,1.90100,60,64,2.60897 , 0.00000, 2.96219,2.00000,1500.00000,0.01400,99.64518
961,20.0208,306.925,155.442,793.118,1.16600,1.90100,60,64,2.60897 , 0.00000, 2.96492,2.00000,1500.00000,0.01400,99.64594
962,20.0417,306.925,155.442,793.118,1.16600,1.90100,61,64,2.60897 , 0.00000, 2.96765,2.00000,1500.00000,0.01400,99.64671
963,20.0625,311.925,157.442,803.118,1.16600,1.90100,61,64,2.60897 , 0.00000, 2.97038,2.00000,1500.00000,0.01400,99.64746
964,20.0833,312.042,158.199,806.118,1.16600,1.90100,61,64,2.60897 , 0.00000, 2.97310,2.00000,1500.00000,0.01400,99.64822
965,20.1042,312.05,158.043,806.326,1.16600,1.90100,62,64,2.60897 , 0.00000, 2.97583,2.00000,1500.00000,0.01400,99.64898
966,20.125,311.925,157.443,803.122,1.16600,1.90100,62,65,2.60897 , 0.00000, 2.97856,2.00000,1500.00000,0.01400,99.64974
967,20.1458,317.042,160.199,816.118,1.16600,1.90100,63,65,2.60897 , 0.00000, 2.98129,2.00000,1500.00000,0.01400,99.65050
968,20.1667,317.051,160.209,816.108,1.16600,1.90100,62,65,2.60897 , 0.00000, 2.98402,2.00000,1500.00000,0.01400,99.65125
969,20.1875,317.167,160.802,819.331,1.16600,1.90100,61,64,2.60897 , 0.00000, 2.98675,2.00000,1500.00000,0.01400,99.65201
970,20.2083,306.935,155.453,793.113,1.16600,1.90100,60,65,2.60897 , 0.00000, 2.98947,2.00000,1500.00000,0.01400,99.65276
971,20.2292,306.925,155.443,793.123,1.16600,1.90100,61,65,2.60897 , 0.00000, 2.99220,2.00000,1500.00000,0.01400,99.65352
972,20.25,306.925,155.442,793.119,1.16600,1.90100,62,66,2.60897 , 0.00000, 2.99493,2.00000,1500.00000,0.01400,99.65427
973,20.2708,316.927,159.456,819.555,1.16600,1.90100,64,66,2.60897 , 0.00000, 2.99766,2.00000,1500.00000,0.01400,99.65503
974,20.2917,327.116,164.739,846.201,1.16600,1.90100,66,66,2.60897 , 0.00000, 3.00039,2.00000,1500.00000,0.01400,99.65578
975,20.3125,337.354,169.918,872.638,1.16600,1.90100,66,66,2.60897 , 0.00000, 3.00312,2.00000,1500.00000,0.01400,99.65653
976,20.3333,327.239,165.329,849.418,1.16600,1.90100,64,68,2.60897 , 0.00000, 3.00584,2.00000,1500.00000,0.01400,99.65728
977,20.3542,327.236,164.995,849.854,1.16600,1.90100,64,68,2.60897 , 0.00000, 3.00857,2.00000,1500.00000,0.01400,99.65803
978,20.375,322.219,163.142,839.656,1.16600,1.90100,64,68,2.60897 , 0.00000, 3.01130,2.00000,1500.00000,0.01400,99.65878
979,20.3958,327.225,164.982,849.856,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.01403,2.00000,1500.00000,0.01400,99.65953
980,20.4167,337.335,169.745,879.307,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.01676,2.00000,1500.00000,0.01400,99.66027
981,20.4375,337.532,170.87,886.157,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.01948,2.00000,1500.00000,0.01400,99.66102
982,20.4583,337.527,170.525,886.608,1.16600,1.90100,67,68,2.60897 , 0.00000, 3.02221,2.00000,1500.00000,0.01400,99.66177
983,20.4792,342.508,172.505,896.623,1.16600,1.90100,68,68,2.60897 , 0.00000, 3.02494,2.00000,1500.00000,0.01400,99.66251
984,20.5,347.624,175.26,909.613,1.16600,1.90100,67,67,2.60897 , 0.00000, 3.02767,2.00000,1500.00000,0.01400,99.66325
985,20.5208,342.633,173.27,899.602,1.16600,1.90100,67,67,2.60897 , 0.00000, 3.03040,2.00000,1500.00000,0.01400,99.66400
986,20.5417,342.632,173.105,899.825,1.16600,1.90100,67,67,2.60897 , 0.00000, 3.03313,2.00000,1500.00000,0.01400,99.66474
987,20.5625,342.623,173.095,899.835,1.16600,1.90100,67,67,2.60897 , 0.00000, 3.03586,2.00000,1500.00000,0.01400,99.66548
988,20.5833,337.507,170.502,886.612,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.03858,2.00000,1500.00000,0.01400,99.66623
989,20.6042,337.507,170.503,886.612,1.16600,1.90100,67,68,2.60897 , 0.00000, 3.04131,2.00000,1500.00000,0.01400,99.66697
990,20.625,342.507,172.503,896.612,1.16600,1.90100,67,68,2.60897 , 0.00000, 3.04404,2.00000,1500.00000,0.01400,99.66771
991,20.6458,342.624,173.26,899.612,1.16600,1.90100,66,67,2.60897 , 0.00000, 3.04677,2.00000,1500.00000,0.01400,99.66845
992,20.6667,337.516,170.512,886.602,1.16600,1.90100,66,67,2.60897 , 0.00000, 3.04950,2.00000,1500.00000,0.01400,99.66918
993,20.6875,337.507,170.504,886.616,1.16600,1.90100,66,67,2.60897 , 0.00000, 3.05223,2.00000,1500.00000,0.01400,99.66992
994,20.7083,332.391,167.912,873.394,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.05495,2.00000,1500.00000,0.01400,99.67066
995,20.7292,337.391,169.912,883.393,1.16600,1.90100,66,68,2.60897 , 0.00000, 3.05768,2.00000,1500.00000,0.01400,99.67139
996,20.75,327.277,165.488,859.956,1.16600,1.90100,64,70,2.60897 , 0.00000, 3.06041,2.00000,1500.00000,0.01400,99.67213
997,20.7708,327.285,165.331,860.164,1.16600,1.90100,66,70,2.60897 , 0.00000, 3.06314,2.00000,1500.00000,0.01400,99.67287
998,20.7917,332.161,166.732,866.96,1.16600,1.90100,67,72,2.60897 , 0.00000, 3.06587,2.00000,1500.00000,0.01400,99.67360
999,20.8125,342.395,172.246,892.956,1.16600,1.90100,68,72,2.60897 , 0.00000, 3.06860,2.00000,1500.00000,0.01400,99.67433
1000,20.8333,347.529,174.856,906.154,1.16600,1.90100,69,72,2.60897 , 0.00000, 3.07132,2.00000,1500.00000,0.01400,99.67506
1001,20.8542,352.644,177.283,919.6,1.16600,1.90100,69,72,2.60897 , 0.00000, 3.07405,2.00000,1500.00000,0.01400,99.67580
1002,20.875,352.867,178.621,925.83,1.16600,1.90100,68,71,2.60897 , 0.00000, 3.07678,2.00000,1500.00000,0.01400,99.67653
1003,20.8958,347.757,175.705,913.034,1.16600,1.90100,69,71,2.60897 , 0.00000, 3.07951,2.00000,1500.00000,0.01400,99.67726
1004,20.9167,342.508,172.506,896.621,1.16800,1.90100,67,73,2.60897 , 0.00000, 3.08224,2.00000,1500.00000,0.01400,99.67799
1005,20.9375,342.507,172.502,896.613,1.16800,1.90100,68,73,2.60897 , 0.00000, 3.08496,2.00000,1500.00000,0.01400,99.67872
1006,20.9583,342.508,172.669,896.393,1.16800,1.90100,67,75,2.60897 , 0.00000, 3.08769,2.00000,1500.00000,0.01400,99.67944
1007,20.9792,342.633,173.27,899.602,1.16800,1.90100,69,75,2.60897 , 0.00000, 3.09042,2.00000,1500.00000,0.01400,99.68017
1008,21,352.632,177.105,919.825,1.16800,1.90100,69,74,2.60897 , 0.00000, 3.09315,2.00000,1500.00000,0.01400,99.68090
1009,21.0208,352.741,178.019,922.617,1.16800,1.90100,70,74,2.60897 , 0.00000, 3.09588,2.00000,1500.00000,0.01400,99.68163
1010,21.0417,357.758,179.871,932.811,1.16900,1.90100,70,74,2.60897 , 0.00000, 3.09861,2.00000,1500.00000,0.01400,99.68235
